Year,Minimum,Average
2016,507500,
2015,507500,4000000
2014,507500,3820000
2013,480000,3386212
2012,480000,3440000
2011,414500,3305393
2010,400000,3297828
2009,400000,3240206
2008,390000,3150000
2007,380000,2820000
2006,327000,2699292
2005,316000,2632655
2004,300000,2486609
2003,300000,2555416
2002,200000,2340920
2001,200000,2138896
2000,200000,1895630
1999,200000,1611166
1998,170000,1398831
1997,150000,1336609
1996,122667,1119981
1995,109000,1110766
1994,109000,1168263
1993,109000,1076089
1992,109000,1028667
1991,100000,851492
1990,100000,597537
1989,68000,497254
1988,62500,438729
1987,62500,412454
1986,60000,412520
1985,60000,371571
1984,40000,329408
1983,35000,289194
1982,33500,241497
1981,32500,185651
1980,30000,143756
1979,21000,113558
1978,21000,99876
1977,19000,76066
1976,19000,51501
1975,16000,44676
1974,15000,40839
1973,15000,36566
1972,13500,34092
1971,12750,31543
1970,12000,29303
1969,10000,24909
1968,10000,
1967,6000,19000
